Symbol,Name,PE Ratio,Sector PE,PB Ratio,Sector PB,PEG Ratio,EV/EBITDA,ROA %,ROE %,ROCE %,ROE 3Y Avg %,ROCE 3Y Avg %,Net Profit (Cr),Net Profit Prev (Cr),Debt/Equity,Interest Coverage,Net Profit Margin %,EPS Current,EPS Last Year,EPS Growth 3Y %,Sales Growth 1Y %,Sales Growth 3Y %,Profit Growth 1Y %,Profit Growth 3Y %,Free Cash Flow (Cr),Dividend Yield %,Dividend Payout %,Promoter Holding %,Pledge %,FII Change %,DII Change %
JPPOWER.NS,JP Power Ven.,14.03,22.91,0.92,1.84,0.14,7.54,2.52,3.6,6.97,7.56,10.4,450.63,813.55,0.27,3.32,8.1,0.94,0.66,96.79,8.8,-1.3,12.35,96.79,1297.96,0,0,24,72.99,0.17,-5.88
JSFB.NS,Jana Small Finan,15.68,15.68,1.34,1.34,1.86,13.91,0.76,7.63,7.45,14.03,8.07,326.43,501.42,9.31,1.13,6.1,36.06,30.99,-15,18.24,20.29,-12.26,8.44,472.23,0,0,16.94,0,-0.3,1.02
JSL.NS,Jindal Stain.,17.99,17.52,2.99,1.65,1.18,10.55,8.45,17.73,19.28,17.85,19.89,3184.57,2499.72,0.38,8.66,7.51,39.41,38.74,15.2,9.82,6.36,27.78,15.25,755.29,0.56,10.32,62.04,0.61,-0.42,0.2
JSLL.NS,Jeena Sikho,26.62,26.62,13.46,8.99,0.3,16.43,44.37,60.01,70.74,49.65,59.64,222.18,90.73,0.27,22.62,27.73,19.03,17.87,88.23,56.71,57.83,103.13,88.18,230.52,0.22,25.18,63.62,0,-1.39,-0.1
JSWCEMENT.NS,JSW Cement,21.58,32.39,2.6,1.89,0.32,14.34,5.25,14.67,11.07,6.8,7.9,-798.78,-163.76,0.68,3.01,10.61,5.58,-5.55,51.08,15.58,3.82,1332.03,68.29,-791.31,0.4,-88.67,72.02,0.08,0.77,2.75
JSWDULUX.NS,JSW Dulux,36.62,36.62,5.73,4.56,14.95,22.86,10.78,19.1,22.73,26.8,35.54,1973.8,429.5,0.03,43.9,10.03,430.94,433.42,2.45,-11.5,-1.81,-5.42,2.45,-1034.5,1.62,47.49,61.2,0,0.06,0.17
JSWENERGY.NS,JSW Energy,49.88,22.91,3.1,1.84,2.66,15.43,2.52,7.51,8.16,7.72,7.75,2762.41,1982.88,2.5,1.29,14.24,11.12,12.74,16.19,35.37,22.3,-7.65,18.78,-213.15,0.37,15.69,66.53,13.28,1.67,1.87
JSWINFRA.NS,JSW Infrast,49.53,22.4,6.37,3.71,1.73,27.04,8.64,15.31,13.59,16.38,14.64,1546.9,1521.48,0.63,5.52,29.83,6.91,7.25,23.55,19.02,18.84,-2.82,28.55,-466.89,0.27,12.32,73.93,0,4.29,6.76
JSWSTEEL.NS,JSW Steel,26.49,17.52,3.18,1.65,0.76,11.51,4.12,10.24,10.96,8.97,10.79,25508,3491,0.99,2.74,5.66,101.34,91.26,34.25,12.22,3.77,136.05,34.77,10610,0.55,9.7,44.29,11.6,0.54,0.33
JUBLFOOD.NS,Jubilant Food.,88.27,88.27,14.6,10.17,10.4,18.86,5.38,20.96,14.8,14.83,13.14,444.24,217.12,2.14,2.31,5.02,6.58,6.49,8.49,16.28,22.63,41.6,8.49,888.58,0.24,18.48,40.27,1.35,-3.97,3.21
JUBLINGREA.NS,Jubilant Ingrev.,36.08,27.92,3.67,2.82,-16.11,18.2,5.5,9.52,11.37,8.49,10.83,277.9,251.18,0.25,8.87,6.57,19.38,17.45,-2.24,10.96,-2.76,14.58,-2.24,234.75,0.69,28.37,45.22,9.3,0,0.22
JUBLPHARMA.NS,Jubilant Pharmo,35.73,32.56,1.96,3.99,0.76,12.55,3.12,6.53,8.99,4.91,8.43,397.5,836.3,0.51,3.79,5.25,22.1,25.02,47.05,16.27,9.64,-20.14,47.05,-120.2,0.57,19.82,47.67,6.58,-0.03,0.77
JUSTDIAL.NS,Just Dial,11.13,19.81,1.13,2.33,0.21,8.14,2.84,3.38,7.01,3.71,6.31,497.02,584.2,0.02,84.66,13.52,59.21,58.44,51.76,7.27,12.84,-13.6,52.19,264.56,0,0,74.14,0,-1.61,0.56
JWL.NS,Jupiter Wagons,59.58,58.86,3.56,3.56,3.98,28.02,4.09,6.39,9.16,14.29,20.56,165.96,380.27,0.33,4.62,6.11,3.91,4,11.27,-11.73,12.13,-44.92,14.97,-524.16,0.4,24.98,68.31,0,-0.72,0.01
JYOTHYLAB.NS,Jyothy Labs,26.96,26.96,4.82,3.13,1.97,16.22,15.07,21.7,28.66,27.81,36.6,333.19,371.17,0.03,81.13,10.95,7.73,9.07,13.69,3.94,5.86,-22.98,13.69,345.89,1.68,38.57,62.89,0,-0.22,-1.26
JYOTICNC.NS,Jyoti CNC Auto.,67.05,32.46,10.79,4.19,0.43,38.47,10.49,18.22,21.32,19.78,22.31,336,316.01,0.43,6.42,16.05,14.15,14.77,60.9,17.44,31.08,-4.4,156.89,-268.83,0,0,62.55,20.92,-2.66,-1.09
KAJARIACER.NS,Kajaria Ceramics,33.17,23.35,6.34,1.26,2.37,18.67,13.4,17.9,23.27,15.35,20.6,487,300.02,0.07,36.92,10.8,34.27,30.48,13.99,8.5,3.3,63.87,14,563.06,1.15,45.94,47.69,0,1.35,-1.23
KALYANKJIL.NS,Kalyan Jewellers,42.08,19.17,9.76,3.14,0.95,23.59,7.69,24.8,20.52,19.28,16.53,1350.4,714.17,0.97,5.47,3.86,13.9,13.08,44.36,45.79,36.44,82.64,44.48,938.76,0.42,19.12,62.86,24.85,-3.73,1.7
KANSAINER.NS,Kansai Nerolac,25.28,36.62,2.43,4.56,3.43,14.26,6.68,8.82,11.99,10.55,13.93,575.84,1109.33,0.05,27.62,7.02,7.42,7.29,7.35,5.24,2.2,0.93,7.36,681.88,1.24,51.45,74.96,0,0.42,-0.02
KARURVYSYA.NS,Karur Vysya Bank,11.76,14.1,2.29,1.33,0.38,14.75,1.94,19.1,7.62,18.08,7.3,2510.33,1941.64,8.38,1.58,22.45,28.4,25.97,30.84,16.02,19.33,36.93,31.02,-683.35,0.78,10.01,2.07,3.85,-1.33,1.96
KAYNES.NS,Kaynes Tech,74.08,32.46,5.39,4.19,1.31,34.33,6.34,9.64,13.24,10.19,14.02,363.89,293.43,0.19,4.97,10.09,51.57,54.28,49.42,34.85,47.68,9.39,56.68,-1840.7,0,0,53.46,0,-1.46,-3.35
KEC.NS,KEC International,18.82,16.03,1.83,1.86,0.34,9.75,2.76,11.35,16.53,10.85,16.86,605.59,570.74,0.87,2.15,2.78,20.8,22.75,53.28,5.14,10.8,-1.2,55.07,-691.3,1.3,24.18,50.1,0,0.08,-3.52
KEI.NS,KEI Industries,54.47,26.95,8.14,4.81,2.23,35.23,11.35,14.75,20.07,16.19,22.86,918.43,696.41,0.04,20.89,7.82,104.27,96.07,21.99,20.29,19.34,34.36,24.38,-412.12,0.08,4.68,35,0,0.05,0.07
KFINTECH.NS,KFin Technolog.,47.45,41.73,9.91,9.91,2.45,28.41,14.73,21.61,29.19,23.22,30.73,343.71,332.63,0.03,97.36,25.58,19.81,19.92,18.59,22.77,21.81,2.51,19.35,258.95,1.25,60.23,22.82,0,-5.53,2.09
KIMS.NS,Krishna Institu.,159.1,46.44,14.07,6.28,-18.48,42.85,3.72,11.31,9.5,15.36,13.79,242,414.8,1.89,2.14,6.37,5.06,6.03,-8.61,30.9,21.12,-43.46,-8.61,-902.1,0,0,32.49,10.26,0.18,1.92
KIRLOSBROS.NS,Kirl. Brothers,37.64,43.84,6.18,6.93,2.02,24.16,9.86,17.3,20.35,19.88,25.08,377.31,418.7,0.1,16.24,8.77,47.02,47.05,18.67,5.04,6.75,-4.23,18.67,203.81,0.36,14.88,65.95,0,0.17,-0.15
