Current Price,Day Change %,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,ROC 12M %,1Y CAGR %,3Y CAGR %,52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,Days Since 52W High,Drawdown Status,SD 1Y %,ATR % (14D),Vol Ratio (20D/60D),Vol Trend,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,EMA Cross,Days Since EMA Cross,Beta vs Nifty,Correlation vs Nifty (1Y),Up Capture Ratio,Down Capture Ratio,Capture Ratio,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Market Regime,PE Ratio,PB Ratio,Dividend Yield %,Index,Category,Momentum Rank 1M,Momentum Rank 3M,Momentum Rank 6M
30570.25,-0.12,30504.18,30567.75,49.53,Bearish,Bearish,3.73,2.45,-3.32,-3.63,-3.63,12.83,32218.6,27071.65,-5.12,12.92,-15.98,162,Correcting,17.98,1.36,0.81,Falling,7.0,2.91,-0.18,Death Cross,88,1.25,0.91,121.4,117.1,1.04,-0.8,0.61,4.72,Bull,26.31,4.87,1.06,Nifty200 Momentum 30,Strategy,38,43,31
20133.95,0.53,19950.68,20241.74,55.92,Bullish,Bearish,3.23,2.75,-6.28,-3.91,-3.91,9.27,21687.9,18207.0,-7.17,10.58,-16.05,133,Correcting,13.41,1.16,0.95,Stable,6.0,2.31,-0.47,Death Cross,95,0.88,0.85,90.7,90.4,1.0,-1.3,0.92,1.77,Strong Bear,28.3,9.17,1.73,Nifty200 Quality 30,Strategy,42,41,43
15074.45,0.03,15251.12,14706.16,45.03,Bearish,Bullish,0.81,-0.22,0.13,13.52,13.52,,16272.95,12405.55,-7.36,21.51,-13.71,97,Correcting,16.72,1.25,0.89,Stable,6.0,0.88,0.01,Golden Cross,542,1.02,0.8,112.8,88.6,1.27,-3.72,-2.06,8.17,Strong Bull,8.67,1.4,2.6,Nifty200 Value 30,Strategy,51,48,23
5537.5,-0.05,5375.06,4881.91,55.68,Bearish,Bullish,7.12,13.77,18.26,18.28,18.28,,5671.5,4092.35,-2.36,35.31,-14.08,34,Recovering,24.85,1.75,0.91,Stable,6.0,2.53,0.73,Golden Cross,477,1.41,0.74,152.1,121.0,1.26,2.59,11.94,26.3,Strong Bull,48.26,13.34,0.72,Nifty Capital Markets,Thematic,12,10,2
9842.1,-0.5,9962.63,9632.36,44.57,Bullish,Bearish,0.84,1.68,1.1,9.08,9.08,17.31,10503.2,8571.8,-6.29,14.82,-10.02,33,Recovering,15.56,1.22,0.9,Stable,8.0,0.28,0.07,Golden Cross,299,0.94,0.79,104.2,85.9,1.21,-3.69,-0.16,9.15,Strong Bull,14.23,2.13,1.8,Nifty Commodities,Thematic,50,46,20
6685.75,0.61,6871.62,6791.96,41.76,Bullish,Bearish,-0.09,-6.31,1.44,1.36,1.36,27.68,7508.0,6123.65,-10.95,9.18,-12.23,53,Correcting,14.31,1.31,1.05,Stable,6.0,2.01,0.1,Golden Cross,135,0.51,0.47,64.0,58.0,1.1,-4.62,-8.14,9.49,Strong Bear,12.74,2.15,2.78,Nifty Cpse,Thematic,53,53,19
39220.35,-0.06,39436.94,37546.92,44.9,Bearish,Bearish,1.46,6.67,8.12,7.95,7.95,16.61,41535.75,33098.3,-5.57,18.5,-9.58,33,Recovering,15.59,1.26,0.83,Falling,5.0,-0.76,0.52,Golden Cross,104,0.79,0.66,90.4,74.6,1.21,-3.07,4.84,16.16,Bull,14.3,2.31,1.92,Nifty Energy,Thematic,48,24,10
3128.7,0.3,3065.06,3011.86,55.38,Bearish,Bullish,4.12,9.49,-2.35,7.07,7.07,,3204.15,2631.45,-2.35,18.9,-17.87,137,Correcting,18.09,1.37,0.86,Stable,10.0,0.96,-0.13,Golden Cross,29,1.19,0.86,120.1,104.2,1.15,-0.41,7.66,5.69,Bull,41.1,4.72,0.88,Nifty Ev & New Age Automotive,Thematic,35,16,27
12076.75,-0.31,11922.3,11694.31,53.8,Bearish,Bullish,4.19,6.22,0.58,4.18,4.18,13.62,12183.9,10467.1,-0.88,15.38,-14.09,17,At High,16.39,1.19,0.87,Stable,6.0,2.12,0.04,Golden Cross,57,1.16,0.92,118.1,104.8,1.13,-0.34,4.39,8.62,Strong Bull,22.23,2.89,0.93,Nifty Housing,Thematic,33,26,21
2323.4,0.08,2190.49,2076.77,67.93,Bearish,Bullish,9.35,19.09,12.64,12.76,12.76,,2323.4,1782.65,0.0,30.33,-21.18,0,At High,16.7,1.31,0.91,Stable,7.0,2.99,0.76,Golden Cross,47,0.91,0.71,91.5,69.3,1.32,4.82,17.25,20.68,Bull,55.19,10.64,0.11,Nifty IPO,Thematic,8,4,3
11667.2,-0.6,11479.98,11555.95,54.86,Bearish,Bullish,5.61,5.6,-4.81,-1.51,-1.51,12.22,12639.05,10334.35,-7.69,12.9,-18.23,190,Correcting,14.37,1.15,0.96,Stable,8.0,3.74,-0.33,Death Cross,98,0.99,0.9,96.7,92.3,1.05,1.08,3.77,3.23,Bull,38.89,7.31,0.76,Nifty India Consumption,Thematic,19,29,40
9414.1,-0.75,9178.97,8434.31,52.08,Bearish,Bullish,6.96,15.13,20.9,6.21,6.21,51.08,9728.7,7214.3,-3.23,30.49,-19.31,15,Recovering,24.44,1.88,1.0,Stable,6.0,1.92,0.86,Golden Cross,320,1.18,0.63,128.0,109.9,1.16,2.42,13.3,28.94,Strong Bull,57.03,12.52,0.53,Nifty India Defence,Thematic,13,8,1
8256.15,1.48,7874.0,8293.12,67.1,Bullish,Bullish,9.36,5.08,-13.28,-10.38,-10.38,12.31,9710.15,7268.6,-14.97,13.59,-25.14,145,Correcting,17.4,1.62,0.95,Stable,6.0,7.67,-0.76,Death Cross,103,0.96,0.72,100.0,106.6,0.94,4.83,3.25,-5.24,Strong Bear,29.07,7.03,1.48,Nifty India Digital,Thematic,7,31,50
1355.4,-0.13,1251.75,1274.91,73.17,Bullish,Bullish,16.97,16.18,-4.35,1.04,1.04,,1501.88,1075.85,-9.75,25.98,-28.37,184,Correcting,21.38,1.67,0.91,Stable,6.0,11.58,-0.2,Death Cross,114,1.21,0.74,113.6,103.6,1.1,12.44,14.35,3.7,Bull,173.06,7.12,0.21,Nifty India Internet,Thematic,2,6,36
15900.15,-0.24,15765.3,15277.39,51.26,Bearish,Bullish,3.17,6.26,1.77,9.04,9.04,20.37,16163.05,13947.25,-1.63,14.0,-12.21,33,At High,15.41,1.15,0.88,Stable,9.0,1.08,0.11,Golden Cross,297,1.05,0.88,110.0,92.1,1.19,-1.36,4.42,9.81,Strong Bull,27.08,4.25,1.01,Nifty India Manufacturing,Thematic,43,25,18
2856.3,0.05,2967.02,3154.23,41.87,Bearish,Bullish,1.11,-5.74,-20.07,-25.68,-25.68,,3843.5,2748.95,-25.68,3.91,-28.48,267,Damaged,21.72,1.57,0.89,Stable,4.0,3.02,-0.92,Death Cross,112,1.2,0.72,101.5,131.0,0.77,-3.42,-7.57,-12.03,Strong Bear,20.48,2.99,1.87,Nifty India Railways Psu,Thematic,49,52,51
9381.15,-0.51,9346.72,9253.55,49.97,Bearish,Bearish,3.95,4.25,-3.94,-0.51,-0.51,18.05,9765.75,8560.95,-3.94,9.58,-12.34,137,Correcting,14.67,1.14,0.95,Stable,6.0,2.53,-0.27,Golden Cross,52,1.02,0.9,107.1,100.6,1.06,-0.58,2.41,4.1,Bull,21.18,2.91,1.07,Nifty Infrastructure,Thematic,36,34,34
15210.45,-0.9,14933.19,15158.74,55.21,Bearish,Bullish,6.26,6.96,-4.18,-6.3,-6.3,8.73,16728.85,13339.65,-9.08,14.02,-20.26,233,Correcting,14.14,1.18,0.93,Stable,5.0,3.94,-0.3,Death Cross,128,0.93,0.86,87.7,89.9,0.98,1.73,5.13,3.86,Bear,55.49,9.85,0.65,Nifty Non-Cyclical Consumer,Thematic,18,23,35
9958.35,0.48,10113.26,10047.96,45.14,Bearish,Bearish,1.79,-1.71,-1.69,-0.74,-0.74,25.53,10766.3,9202.45,-7.5,8.21,-9.43,54,Recovering,15.24,1.23,0.92,Stable,6.0,2.36,-0.11,Golden Cross,212,0.78,0.67,85.9,81.2,1.06,-2.74,-3.54,6.35,Strong Bear,10.14,1.99,2.83,Nifty Pse,Thematic,47,50,26
25050.25,-0.14,24340.85,24227.15,58.06,Bullish,Bullish,7.61,7.3,-4.66,7.84,7.84,21.4,26295.3,21520.0,-4.73,16.4,-18.16,135,Correcting,19.9,1.49,0.95,Stable,9.0,5.18,-0.23,Golden Cross,4,1.34,0.88,129.6,111.0,1.17,3.08,5.47,3.38,Bull,43.02,5.18,0.83,Nifty Transportation & Logistics,Thematic,10,21,39
