Symbol,Index Membership
CHOICEIN.NS,"Nifty 500, Nifty Smallcap 250"
CHOLAFIN.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Financial Services, Nifty Next 50, Nifty200 Momentum 30"
CHOLAHLDNG.NS,"Nifty 500, Nifty Smallcap 250"
CIEINDIA.NS,"Nifty 500, Nifty Smallcap 250"
CIPLA.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Healthcare Index, Nifty India Manufacturing, Nifty Low Volatility 50, Nifty Pharma, Nifty100 Low Volatility 30"
CLEAN.NS,"Nifty 500, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
CMSINFO.NS,Nifty Microcap 250
COALINDIA.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Commodities, Nifty Cpse, Nifty Dividend Opportunities 50, Nifty Energy, Nifty Pse, Nifty200 Quality 30, Nifty200 Value 30"
COCHINSHIP.NS,"Nifty 200, Nifty 500, Nifty Cpse, Nifty India Defence, Nifty India Manufacturing, Nifty Midcap 150"
COFORGE.NS,"Nifty 200, Nifty 500, Nifty High Beta 50, Nifty India Digital, Nifty It, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Midcap150 Quality 50"
COHANCE.NS,"Nifty 500, Nifty Smallcap 250"
COLPAL.NS,"Nifty 200, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Dividend Opportunities 50, Nifty Fmcg, Nifty Low Volatility 50, Nifty Midcap 150, Nifty Midcap150 Quality 50, Nifty Non-Cyclical Consumer, Nifty200 Quality 30"
CONCOR.NS,"Nifty 200, Nifty 500, Nifty India Railways Psu, Nifty Midcap 150, Nifty Pse, Nifty Transportation & Logistics"
CONCORDBIO.NS,"Nifty 500, Nifty Smallcap 250"
COROMANDEL.NS,"Nifty 200, Nifty 500, Nifty Chemicals, Nifty India Manufacturing, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Midcap150 Quality 50"
CORONA.NS,Nifty Microcap 250
CPPLUS.NS,"Nifty 500, Nifty Smallcap 250"
CRAFTSMAN.NS,"Nifty 500, Nifty Smallcap 250"
CRAMC.NS,Nifty Microcap 250
