Symbol,Name,Sector,Industry,Market Cap (Cr),Cap Category,Current Price,Day Change %,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,ROC 12M %,Vol ROC 1M %,Beta 1Y (Daily),Beta 5Y (Monthly),SD 1Y %,ATR % (14D),52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,1Y CAGR %,3Y CAGR %,Market Regime,Drawdown Status,Days Since 52W High,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,Vol Ratio (20D/60D),Vol Trend,EMA Cross,Days Since EMA Cross,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Up Capture Ratio,Down Capture Ratio,Capture Ratio
DRREDDY.NS,Dr. Reddy's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,109661.06,Large,1317.1,-1.04,1255.81,1252.61,61.94,Bullish,Bullish,1.4,12.84,4.87,13.91,75.85,0.57,0.302,22.71,3.01,1379.7,1129.4,-4.54,16.62,-14.54,13.91,14.07,Strong Bull,Correcting,225,6.0,-2.88,0.21,1.34,Rising,Golden Cross,0,-1.99,19.44,11.47,77.0,57.6,1.34
GAIL.NS,GAIL (India) Limited,Utilities,Utilities - Regulated Gas,108889.89,Large,165.61,0.39,155.3,164.31,67.96,Bullish,Bullish,15.92,3.67,-3.84,-8.15,-6.09,1.0803,0.513,25.14,2.72,202.79,134.36,-18.33,23.26,-29.82,-8.15,20.85,Bear,Correcting,226,6.0,14.7,-0.15,0.73,Falling,Death Cross,186,12.53,10.27,2.75,105.8,114.3,0.93
BOSCHLTD.NS,Bosch Limited,Consumer Cyclical,Auto Parts,108212.17,Large,36690.0,-1.85,34807.55,35210.08,59.28,Bullish,Bullish,20.73,0.49,-5.33,35.2,158.15,1.2054,0.542,28.32,2.92,41945.0,27850.0,-12.53,31.74,-30.73,35.2,27.26,Bear,Correcting,162,5.0,20.57,-0.19,1.16,Rising,Death Cross,32,17.34,7.09,1.27,135.4,92.3,1.47
MAZDOCK.NS,Mazagon Dock Shipbuilders Limited,Industrials,Aerospace & Defense,108121.97,Large,2680.4,-0.5,2441.26,2531.38,66.99,Bullish,Bullish,15.33,10.34,-4.39,-0.5,-4.92,1.2697,0.495,38.85,3.49,3775.0,2057.4,-29.0,30.28,-44.6,-0.5,105.64,Strong Bear,Damaged,235,4.0,11.88,-0.11,1.05,Stable,Death Cross,95,11.94,16.94,2.21,141.3,134.2,1.05
LGEINDIA.NS,LG ELECTRONICS INDIA LTD,Technology,Consumer Electronics,107103.5,Large,1577.9,1.85,1519.95,1574.41,56.91,Bullish,Bullish,1.17,15.09,-5.4,,115.7,0.827,,29.21,4.01,1749.0,1304.1,-9.78,21.0,-21.96,,,Bear,Correcting,137,2.0,-3.86,-0.18,1.25,Rising,Death Cross,136,-2.22,21.69,1.19,68.4,71.7,0.95
INDUSTOWER.NS,Indus Towers Limited,Communication Services,Telecom Services,106066.31,Large,402.2,-0.62,428.67,408.62,36.45,Bearish,Bearish,-7.44,-6.12,17.26,1.08,51.38,0.9929,0.063,27.74,3.19,481.5,312.55,-16.47,28.68,-23.89,1.08,40.85,Bear,Correcting,46,7.0,-5.4,0.62,1.0,Stable,Golden Cross,117,-10.83,0.48,23.85,103.9,98.9,1.05
LUPIN.NS,Lupin Limited,Healthcare,Drug Manufacturers - Specialty & Generic,104972.9,Large,2296.1,-1.93,2280.43,2137.22,47.89,Bearish,Bullish,-1.14,5.47,18.36,19.26,25.9,0.5912,0.283,21.02,2.39,2381.0,1836.8,-3.57,25.01,-11.5,19.26,53.5,Strong Bull,Recovering,30,8.0,-2.96,0.87,0.88,Stable,Golden Cross,115,-4.53,12.06,24.95,91.2,66.4,1.37
CIPLA.NS,Cipla Limited,Healthcare,Drug Manufacturers - Specialty & Generic,104607.86,Large,1295.0,-0.83,1284.53,1403.24,60.59,Bullish,Bullish,3.07,-6.99,-17.91,-13.62,37.33,0.5755,0.059,19.34,2.29,1673.0,1165.7,-22.59,11.09,-28.32,-13.62,14.37,Strong Bear,Damaged,132,6.0,5.4,-0.93,1.16,Rising,Death Cross,72,-0.32,-0.39,-11.32,62.4,80.1,0.78
IDEA.NS,Vodafone Idea Limited,Communication Services,Telecom Services,103142.58,Large,9.52,-0.63,9.71,9.6,51.97,Bullish,Bearish,1.93,-10.1,9.43,30.23,7.22,1.718,0.121,50.73,3.41,12.8,6.12,-25.62,55.56,-29.27,30.23,17.29,Bear,Damaged,82,7.0,5.3,0.19,0.75,Falling,Golden Cross,130,-1.46,-3.51,16.02,208.0,159.3,1.31
MARICO.NS,Marico Limited,Consumer Defensive,Household & Personal Products,101488.07,Large,783.3,0.56,758.85,734.64,61.23,Bullish,Bullish,5.24,2.98,6.55,10.67,29.62,0.6023,0.149,18.34,2.18,813.5,680.3,-3.71,15.14,-10.5,10.67,19.11,Strong Bull,Recovering,42,7.0,4.25,0.36,0.95,Stable,Golden Cross,510,1.85,9.58,13.14,81.4,67.0,1.21
